wallet_address,wallet_segment,is_contract,first_seen_date,last_seen_date,total_transactions,total_volume,monetary_units,recency_days
0x0000000000000000000000000000000000000000,Occasional Users,False,,,0,0.0,0.0,142.1
0x0000000000000000000000000000000000000268,Dormant Users,False,,,0,0.0,0.0,170.2
0x0000000000006496778e5d0bba899702ee4bdc92,Occasional Users,False,2026-05-16,2026-05-16,1,0.0,0.0,112.1
0x000000000000e88fe64e2b65189820d88186c888,Occasional Users,False,2026-04-21,2026-04-21,1,0.0,0.0,136.8
0x000000093e55f433fb57a32aa5d5fe717b3f7ab1,Frequent Users,False,2026-06-26,2026-06-26,3,0.0,0.0,70.6
0x000000c528ae908fb929a0898b65e913623c9aff,Occasional Users,False,2026-06-14,2026-06-14,1,0.0,0.0,82.7
0x000003414ba674ebdf64c1e78d76a127d95463eb,Occasional Users,False,2026-05-07,2026-05-07,1,0.0,0.0,120.9
0x000025a5d8137ad54adaca2cf01e377191bf4551,Dormant Users,False,2026-03-11,2026-03-11,1,0.0,0.0,177.7
0x000093c18af4d54b23898319b58f3a5e1379588c,Dormant Users,False,2026-04-11,2026-04-11,2,0.0,0.0,147.2
0x0000b9f113693714b508eb182221679d40c0a4ff,Dormant Users,False,2026-04-09,2026-04-09,2,0.0,0.0,148.7
0x0000e96b0f8059053c416c6a458275db02b00000,Occasional Users,False,2026-05-19,2026-05-19,1,0.0,0.0,109.0
0x0001e2896e38f9d018b063afcf1406c54755637b,Frequent Users,False,2026-03-23,2026-04-21,3,0.0,0.0,136.8
0x000408b00e9e729d1aa27b99f3678a9ff1b56649,Occasional Users,False,2026-04-11,2026-04-12,2,0.0,0.0,145.8
0x0006cdb9cf6f1f62e04d575dcc4099cbc8de4cf0,Frequent Users,False,2026-08-04,2026-08-04,3,0.0,0.0,31.6
0x0007746e26f653c87fc1d359ace323ad8273137d,Occasional Users,False,2026-06-01,2026-06-01,2,0.0,0.0,95.7
0x0007d9d3c62086d28a7174078cb8b42099d063d2,Dormant Users,False,2026-03-12,2026-03-12,1,0.0,0.0,176.9
0x000c9858250da860fff404c5e8a8d7c7cd64e8af,Occasional Users,False,2026-07-02,2026-07-02,2,0.0,0.0,64.5
0x000cbb4a9f435862fd07e7a96754fb51604db54c,Dormant Users,False,2026-04-11,2026-04-11,2,0.0,0.0,147.3
0x000dd75f7ee924250e890b2952546fb9ef0ee74f,Dormant Users,False,2026-04-09,2026-04-09,2,0.0,0.0,148.8
0x000ddc7edd1a65cf8b73a7799fae6e95ae60def8,Frequent Users,False,2026-03-28,2026-06-10,4,0.0,0.0,86.8
0x000f5445201bc2c929b9386fb56b0bedf7e8d8c7,Dormant Users,False,2026-04-09,2026-04-09,2,0.0,0.0,148.8
0x0011e795cd32a76b6c45ae69150005e1f9877cdd,Occasional Users,False,2026-03-21,2026-08-31,2,0.0,0.0,4.7
0x0018d044b946ede86b43bb3b964a45772a5abeb9,Frequent Users,False,2026-04-01,2026-04-26,5,0.0,0.0,131.8
0x001b3b0b9592acb5d6e03fda1aff52732aafaf1d,Dormant Users,False,2026-04-10,2026-04-10,2,0.0,0.0,147.6
0x00225b642be539339042c77a8b3ff5a34470cf00,Dormant Users,False,2026-04-08,2026-04-08,2,0.0,0.0,150.1
0x00229678c4f5ae292ece9c54be7310145cb8d58a,Occasional Users,False,2026-04-13,2026-04-13,2,0.0,0.0,144.5
0x0026f413741231d943de4de2ef0d4b855c8a389a,Frequent Users,False,2026-03-24,2026-06-10,5,0.0,0.0,86.5
0x00277f78b30ef075cf6b9c88ffbac8a3f0d3afcb,Occasional Users,False,2026-06-29,2026-06-29,2,0.0,0.0,68.1
0x0028112a819a2fea8802b27c8abd755152f548ba,Frequent Users,False,2026-03-17,2026-07-13,10,0.0,0.0,54.1
0x0028a13436027a031edd37eb2455cc0f6911fdda,Frequent Users,False,2026-05-18,2026-05-19,3,0.0,0.0,109.3
0x003792234d32f18dec20622b151d021854affa55,Frequent Users,False,2026-03-30,2026-06-05,5,0.0,0.0,91.6
0x003a98bfb7019b8fc337aec8f01773323e521b9b,Frequent Users,False,2026-06-09,2026-06-09,4,0.0,0.0,88.1
0x003e7579767b666fc18b148cc35a7383c7a58f75,Dormant Users,False,2026-04-10,2026-04-10,2,0.0,0.0,147.6
0x0043d96dbe04d7cf5df0afa76f9ee9c36ee8c21c,Frequent Users,False,2026-04-28,2026-05-07,8,0.0,0.0,120.3
0x0045c6626201854777d1aceecec7e15327584a44,Frequent Users,False,2026-04-23,2026-05-26,8,0.0,0.0,101.4
0x0047b8bcee598cc2972903a8a7a66d5eee3f9b73,Dormant Users,False,2026-04-11,2026-04-11,2,0.0,0.0,146.9
0x004a4c6279fa0ce6376d879c5fd65868c76b5034,Dormant Users,False,2026-04-11,2026-04-11,2,0.0,0.0,146.7
0x004dcfb9f1d29bdd3c160a94668bae05ef929863,Dormant Users,False,2026-04-11,2026-04-11,2,0.0,0.0,146.7
0x00555a7f113878d05853b14d0d7077514b684675,Occasional Users,False,2026-04-17,2026-08-04,2,0.0,0.0,32.3
0x0055a0666500c1a1f0c44a5e9692d9dde5cad9fc,Occasional Users,False,2026-05-19,2026-05-19,1,0.0,0.0,109.1
0x0055d6cae46b8ced2a263dd7d62b406862dfa532,Dormant Users,False,2026-04-11,2026-04-11,2,0.0,0.0,147.0
0x0057341015fc1327e288773df9e69a0e49a9e2c4,Dormant Users,False,2026-04-11,2026-04-11,2,0.0,0.0,146.7
0x0058ccdbefccab0451ecc83277b0906e55fd1dc8,Frequent Users,False,2026-05-05,2026-06-27,32,0.0,0.0,69.7
0x0058da8e2bc17a422ccf9cf83e67b9dcc4af70b6,Frequent Users,False,2026-03-10,2026-08-18,34,0.0,0.0,18.0
0x005fd8ce821b2b3a2aaa60e90a93ea46976120b4,Dormant Users,False,2026-04-10,2026-04-10,2,0.0,0.0,147.4
0x0064828bb42e59c69709fcd0c3c2642f38bd9254,Frequent Users,False,2026-03-29,2026-07-22,6,0.0,0.0,44.7
0x006798ec0eed617e69b8ef32c24221a54c4bb102,Dormant Users,False,2026-03-21,2026-03-21,1,0.0,0.0,167.7
0x00697031028507e65fe0cb636fba7f1903ed8fb9,Occasional Users,False,2026-07-01,2026-07-01,1,0.0,0.0,65.4
0x00705d931184135830185bb284fb8ed277693d0d,Frequent Users,False,2026-05-05,2026-09-04,3,0.0,0.0,0.4
0x0070a59b0fca4af33e9c1f2f916a1aa2adaae490,Occasional Users,False,2026-05-16,2026-05-20,2,0.0,0.0,108.3
0x0071961a1e6afc5ccd27be5ad3b4cb34465a86f2,Occasional Users,False,2026-06-24,2026-06-24,1,0.0,0.0,72.6
0x007489bb91cab23ebeeed0da5d5d106f0410dfed,Occasional Users,False,2026-05-19,2026-05-19,1,0.0,0.0,108.7
0x0074c68362c3516fd3b44f4e4c494deab07f2693,Frequent Users,False,2026-03-25,2026-08-24,15,0.0,0.0,12.2
0x00818be58023ed472f331e5bcc292552717aca30,Frequent Users,False,2026-08-16,2026-08-16,4,0.0,0.0,19.8
0x00821f4a88a5b6ed7fd31969f778f0a444fe83c3,Occasional Users,False,2026-04-25,2026-04-25,2,0.0,0.0,133.0
0x008298f7ed0874dfde020500fae08fc17d5ef267,Occasional Users,False,2026-04-13,2026-04-14,2,0.0,0.0,143.6
0x00861fefcfef0a542b0a6c90ce1ee575e257a6c7,Frequent Users,False,2026-04-19,2026-04-19,4,0.0,0.0,138.6
0x008b07b345e35caeabd8f46898e9e2bb3e41f843,Occasional Users,False,2026-05-14,2026-05-14,1,0.0,0.0,113.5
0x008b1ffe244bf31896c833bff4ad9009e7a0f4eb,Occasional Users,False,2026-06-05,2026-06-05,2,0.0,0.0,91.4
0x0096d4906508ab471738d2565be1852d6460a394,Occasional Users,False,2026-06-07,2026-06-07,2,0.0,0.0,90.3
0x009cd34ef999cd0de9a410085f152028b3aed7b8,Dormant Users,False,2026-04-10,2026-04-10,2,0.0,0.0,147.5
0x009f19daf77e153ca607043ea99236eaa88d50da,Occasional Users,False,2026-06-25,2026-08-15,2,0.0,0.0,20.3
0x00a04358fb973720960453dbec206ed203517851,Occasional Users,False,2026-04-14,2026-04-14,2,0.0,0.0,144.1
0x00a283684a59c968a61417693c4f842f514b2335,Occasional Users,False,2026-04-13,2026-04-13,2,0.0,0.0,144.6
0x00a49501f6c9029774a9c413369594f80dcd9ee5,Frequent Users,False,2026-07-12,2026-08-04,14,0.0,0.0,32.3
